Nd	CaWO4	1.0649	-0- 	4F3/2	4I11/2	2016	1.57	0.18	7	p	77	5x30	Xe	0.5	4/27/1988	7030
Nd	CaWO4	1.0649	-0- 	4F3/2	4I11/2	2016	1.57	0.18	7	cw	85	3x50	Hg	400	4/27/1988	7030
Nd	CaWO4	1.334	-0- 	4F3/2	4I13/2	3970	1.57	0.18	20	p	300	5x45	Xe	4	4/27/1988	7030
Nd	CaWO4	1.3475	-0- 	4F3/2	4I13/2	3970	1.57	0.18	25	p	300	5x45	Xe	10	4/27/1988	7030
Nd	CaWO4	1.337	-0- 	4F3/2	4I13/2	3925	1.57	0.18	23	p	300	5x45	Xe	1	4/27/1988	7030
Nd	CaWO4	1.337	-0- 	4F3/2	4I13/2	3925	1.57	0.18	23	cw	300	5x45	Xe	1500	4/27/1988	7030
Nd	CaWO4	1.339	-0- 	4F3/2	4I13/2	4000	1.57	0.18	25	p	300	5x30	Xe	1	4/27/1988	7030
Nd	CaWO4	1.3345	-0- 	4F3/2	4I13/2	3975	1.57	0.18	8	p	77	5X30	Xe	1	4/27/1988	7030
Nd	CaWO4	1.3372	-0- 	4F3/2	4I13/2	3928	1.57	0.18	-0- 	p	77	5x30	Xe	2	4/27/1988	7030
Nd	CaWO4	1.3459	-0- 	4F3/2	4I13/2	3975	1.57	0.18	7	p	77	5x30	Xe	2	4/27/1988	7030
Nd	CaWO4	1.388	-0- 	4F3/2	4I13/2	4202	1.57	0.18	10	p	77	5x30	Xe	5	4/27/1988	7030
Nd	Ca2Y5F19	1.0498	-0- 	4F3/2	4I11/2	2000	1	0.36	100	p	600	5x34	Xe	15	4/27/1988	7031
Nd	Ca2Y5F19	1.319	-0- 	4F3/2	4I11/2	4000	1	0.36	80	p	600	5x21	Xe	150	4/27/1988	7031
Nd	Ca2Y5F19	1.3525	-0- 	4F3/2	4I11/2	4200	1	0.36	100	p	600	5x21	Xe	180	4/27/1988	7031
Nd	Ca2Y5F19	1.32	-0- 	4F3/2	4I11/2	4000	1	0.36	25	p	600	5x21	Xe	250	4/27/1988	7031
Nd	CaY2Mg2Ge3O12	0.941	-0- 	4F3/2	4I9/2	819	-0- 	-0- 	-0- 	cw	300		ArL	0.4	4/27/1988	7000
Nd	CaY2Mg2Ge3O12	1.05896	-0- 	4F3/2	4I11/2	2008	4	0.305	37	p	300	5x25	Xe	65	4/27/1988	7032
Nd	CaY4(SiO4)3O	1.0672	-0- 	4F3/2	4I11/2	2000	-0- 	0.2	53	p	300	5.2x24	Xe	50	4/27/1988	7000
Nd	CdF2-LaF3	1.0665	-0- 	4F3/2	4I11/2	2000	1	0.3	100	p	300	4.5x20	Xe	500	4/27/1988	7000
Nd	CdF2-YF3(15%)	1.0656	1.0629	4F3/2	4I11/2	2000	1.5	0.3	100	p	600	6x23	Xe	12	4/27/1988	7033
Nd	CdF2-YF3(15%)	1.3425	-0- 	4F3/2	4I13/2	4000	2	0.3	120	p	300	6x23	Xe	40	4/27/1988	7000
Nd	CdF2-YF3(15%)	1.3165	-0- 	4F3/2	4I13/2	4000	2	0.3	55	p	77	6x23	Xe	150	4/27/1988	7000
Nd	CeCl3	1.0647	-0- 	4F3/2	4I11/2	2055	2.8	0.175	55	p	300	5x2.85	Xe	0.06	4/27/1988	7034
Nd	CeCl3	1.0647	-0- 	4F3/2	4I11/2	2055	2.5	0.175	55	cw	300	1.5x8.9	ArL	8	4/27/1988	7035
Nd	CeF3	1.041	-0- 	4F3/2	4I11/2	1983	4	0.27	25	p	300	5x25	Xe	25	4/27/1988	7036
Nd	CeF3	1.0638	-0- 	4F3/2	4I11/2	2189	4	0.27	35	p	300	5x25	Xe	8.5	4/27/1988	7036
Nd	CeF3	1.0404	-0- 	4F3/2	4I11/2	1998	4	0.25	6.5	p	77	5x25	Xe	3.5	4/27/1988	7036
Nd	CeF3	1.0639	-0- 	4F3/2	4I11/2	2199	4	0.25	15	p	77	5x25	Xe	6	4/27/1988	7036
Nd	CeF3	1.041	-0- 	4F3/2	4I11/2	1983	4	0.27	25	p	300	5x25	Xe	8.5	4/27/1988	7037
Nd	CeF3	1.0638	-0- 	4F3/2	4I11/2	2189	4	0.27	35	p	300	5x25	Xe	7.5	4/27/1988	7037
Nd	CeF3	1.0404	-0- 	4F3/2	4I11/2	1996	4	0.25	6.5	p	77	5x25	Xe	3.5	4/27/1988	7037
Nd	CeF3	1.332	-0- 	4F3/2	4I13/2	4070	2	0.27	30	p	300	5x25	Xe	20	4/27/1988	7036
Nd	CeF3	1.324	-0- 	4F3/2	4I13/2	4040	2	0.27	8	p	77	5x25	Xe	20	4/27/1988	7036
Nd	CeF3	1.331	-0- 	4F3/2	4I13/2	4080	2	0.27	10	p	77	5x25	Xe	10	4/27/1988	7036
Nd	CeF3	1.3675	-0- 	4F3/2	4I13/2	4280	2	0.27	15	p	77	5x25	Xe	20	4/27/1988	7036
Nd	CeP5O14	1.051	-0- 	4F3/2	4I11/2	2000	10	0.265	-0- 	p	300	5x25	ArL	20	4/27/1988	7039
Nd	GdAlO3	1.069	-0- 	4F3/2	4I11/2	2095	1	0.1	15	p	300	2.5x20	Xe	38	4/27/1988	7000
Nd	GdAlO3	1.076	-0- 	4F3/2	4I11/2	2166	1	0.1	15	p	300	3x3x5	Xe	210	4/27/1988	7000
Nd	GdAlO3	1.0689	-0- 	4F3/2	4I11/2	2094	1	0.1	15	p	77	2.5x20	Xe	24	4/27/1988	7000
Nd	GdAlO3	1.0759	-0- 	4F3/2	4I11/2	2155	1	0.1	15	p	77	2.5x20	Xe	41	4/27/1988	7000
Nd	Gd3Ga5O12	1.0621	-0- 	4F3/2	4I11/2	2064	1	0.27	7.2	p	300	5x25	Xe	4	4/27/1988	7000
Nd	Gd3Ga5O12	1.06	-0- 	4F3/2	4I11/2	2007	1	0.27	-0- 	p	120	5x25	Xe	1.5	4/27/1988	7038
Nd	Gd3Ga5O12	1.0615	-0- 	4F3/2	4I11/2	2063	1	0.27	-0- 	p	120	5x25	Xe	1.5	4/27/1988	7038
Nd	Gd3Ga5O12	1.0584	-0- 	4F3/2	4I11/2	1994	1	0.27	2.3	p	77	5x25	Xe	1	4/27/1988	7038
Nd	Gd3Ga5O12	1.0599	-0- 	4F3/2	4I11/2	2007	1	0.27	2.3	p	77	5x25	Xe	2	4/27/1988	7038
Nd	Gd3Ga5O12	1.3077	-0- 	4F3/2	4I13/2	3927	1	0.27	2.5	p	77	5x25	Xe	18	4/27/1988	7038
Nd	Gd2(MoO4)3	1.0606	-0- 	4F3/2	4I11/2	1926	3	0.15	35	p	300	5x10	Xe	-0- 	4/27/1988	7037
Nd	Gd2(MoO4)3	1.0701	-0- 	4F3/2	4I11/2	2010	3	0.15	40	p	300	5x10	Xe	2.5	4/27/1988	7037
Nd	Gd2O3	1.0741	-0- 	4F3/2	4I11/2	2000	-0- 	0.12	-0- 	p	300	2x6	Xe	36	4/27/1988	7000
Nd	Gd2O3	1.0789	-0- 	4F3/2	4I11/2	2000	-0- 	0.12	25	p	300	2x6	Xe	9	4/27/1988	7040
Nd	Gd2O3	1.0776	-0- 	4F3/2	4I11/2	2000	-0- 	0.12	-0- 	p	77	2x6	Xe	12	4/27/1988	7000
Nd	Gd2O3	1.0789	-0- 	4F3/2	4I11/2	2000	-0- 	0.12	8	p	77	2x6	Xe	3	4/27/1988	7000
Nd	GdP5O14	1.051	-0- 	4F3/2	4I11/2	2000	10	0.265	8	p	300	-0- 	ArL	3	4/27/1988	7039
Nd	Gd3Sc2AL3O12	1.05995	-0- 	4F3/2	4I11/2	1978	1	0.275	10	p	300	6x25	Xe	3	4/27/1988	7000
Nd	Gd3Sc2AL3O12	1.06	-0- 	4F3/2	4I11/2	1978	1	0.275	11.5	cw	300	2.5x29	W	700	4/27/1988	7000
Nd	Gd3Sc2AL3O12	1.062	-0- 	4F3/2	4I11/2	2111	1	0.275	15	p	300	6x25	Xe	-0- 	4/27/1988	7000
Nd	Gd3Sc2AL3O12	1.05915	-0- 	4F3/2	4I11/2	1979	1	0.275	5	p	77	6x25	Xe	3	4/27/1988	7000
Nd	Gd3Sc2AL3O12	1.337	-0- 	4F3/2	4I13/2	3931	1	0.275	12	p	300	6x25	Xe	7	4/27/1988	7000
